attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
event_number	Identification number for each sampling event, consisting of either MVCO event number or NES-LTER transect cruise and cast number	character				
event_number_niskin	Identification number for each Niskin or bucket collection during MVCO discrete sampling event  or NES-LTER transect cruise, cast number, and Niskin number	character				
ship	Name of vessel from which samples were collected	character				
cruise	Identifier for research cruise generally including abbreviation for research vessel and voyage number	character				
date_time_utc	Date and time in UTC when cast started or bucket filled	Date		YYYY-MM-DD hh:mm:ss		
latitude	Ship's latitude when cast started or latitude of MVCO	numeric	degree		NaN	Missing value
longitude	Ship's longitude when cast started or longitude of MVCO	numeric	degree		NaN	Missing value
depth	Depth of sample below sea surface http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter		NaN	Missing value
filter_size	Size fraction with filter and when applicable prefilter in micrometers	categorical				
replicate	Lowercase letter indicating replicate subsample drawn from the same rosette bottle or bucket	character				
chl	Concentration of chlorophyll a per unit volume of the water body http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ corresponding to BCO-DMO chl_a SeaBASS Chl and CF mass_concentration_of_ chlorophyll_a_in_sea_water	numeric	microgramsPerLiter		NaN	Missing value
phaeo	Concentration of phaeopigments per unit volume of the water body	numeric	microgramsPerLiter		NaN	Missing value
iode_quality_flag	IODE Quality Flag primary level	categorical				
fluorometer	Comment or fluorometer identifer	character				
